idea_id,idea_name,channel_fit,location_or_prop,production_level,risk_level,tiktok_safe_version,notes,status
IDEA-001,Blacklight body paint shoot,OF/IG/X,Studio + blacklight paint,medium,medium,UV paint glow concept,Use non-explicit cuts for TikTok,active
IDEA-002,Lingerie archery theme,OF/IG/TikTok,Archery range props,medium,low,Archery challenge in themed outfit,Strong brand differentiator,active
IDEA-003,Tattoo session behind the scenes,OF/IG/TikTok,Tattoo studio,medium,low,Tattoo day vlog segment,Get release permissions at studio,active
IDEA-004,Car wash aesthetic set,OF/IG/TikTok,Car wash location,high,medium,Car wash style photoshoot,Check location policy first,active
IDEA-005,Pool day set,OF/IG/TikTok,Swimming pool,medium,low,Pool day lifestyle content,Shoot both portrait and landscape,active
IDEA-006,Campfire night aesthetic,OF/IG/TikTok,Outdoor firepit,medium,low,Night cozy campfire theme,Strong for retention storytelling,active
IDEA-007,Shower steam concept,OF/IG,Indoor shower setup,medium,medium,Steam silhouette aesthetic,Post SFW crop on TikTok,active
IDEA-008,Gym equipment fitness tease,OF/IG/TikTok,Home or local gym,medium,low,Fitness confidence clips,Great for short-form hooks,active
IDEA-009,Golf course lifestyle set,OF/IG/TikTok,Golf course,high,medium,Golf day lifestyle set,Get permits where needed,active
IDEA-010,Zoo day outfit vlog,TikTok/IG,Public venue,medium,low,Day-in-life outfit vlog,Keep fully SFW in public,active
IDEA-011,Target practice content,TikTok/IG/OF,Range + bow,medium,low,Archery skill progression series,Primary evergreen pillar,active
IDEA-012,Dance/trend repurpose,TikTok,Home setup,low,low,Trend adaptation with brand personality,Use weekly trend cadence,active
